No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
2430,61.3014,111.0266,95.5933,90.9882,300.3550, ,1.51098
2431,61.3184,104.1263,95.7212,91.0463,300.3550, ,1.51060
2432,61.3354,99.0021,95.8592,91.1130,300.3550, ,1.51022
2433,61.3524,102.8033,96.0072,91.1880,300.3550, ,1.50984
2434,61.3694,92.8334,96.1650,91.2712,300.3550, ,1.50946
2435,61.3864,89.0169,96.3326,91.3624,300.3550, ,1.50909
2436,61.4034,106.4971,96.5098,91.4613,300.3550, ,1.50871
2437,61.4204,98.1419,96.6965,91.5680,300.3550, ,1.50833
2438,61.4374,79.9647,96.8925,91.6820,300.3550, ,1.50796
2439,61.4544,87.6265,97.0978,91.8034,300.3550, ,1.50758
2440,61.4714,87.5174,97.3122,91.9318,300.3550, ,1.50720
2441,61.4884,101.4210,97.5356,92.0672,300.3550, ,1.50683
2442,61.5054,94.5892,97.7680,92.2093,300.3550, ,1.50645
2443,61.5224,102.9544,98.0092,92.3580,300.3550, ,1.50608
2444,61.5394,103.8556,98.2591,92.5131,300.3550, ,1.50570
2445,61.5564,94.4860,98.5176,92.6744,300.3550, ,1.50533
2446,61.5734,101.5323,98.7847,92.8418,300.3550, ,1.50495
2447,61.5904,99.6281,99.0602,93.0150,300.3550, ,1.50458
2448,61.6074,111.7261,99.3440,93.1940,300.3550, ,1.50420
2449,61.6244,114.2392,99.6361,93.3784,300.3550, ,1.50383
2450,61.6414,95.0614,99.9365,93.5683,300.3550, ,1.50345
2451,61.6584,100.3853,100.2449,93.7633,300.3550, ,1.50308
2452,61.6754,93.6898,100.5614,93.9634,300.3550, ,1.50271
2453,61.6924,106.3003,100.8860,94.1683,300.3550, ,1.50233
2454,61.7094,110.7164,101.2184,94.3779,300.3550, ,1.50196
2455,61.7264,88.4111,101.5589,94.5920,300.3550, ,1.50159
2456,61.7434,90.3286,101.9071,94.8105,300.3550, ,1.50122
2457,61.7604,89.7304,102.2632,95.0332,300.3550, ,1.50084
2458,61.7774,93.3480,102.6271,95.2599,300.3550, ,1.50047
2459,61.7944,98.2959,102.9988,95.4904,300.3550, ,1.50010
2460,61.8114,110.7371,103.3782,95.7247,300.3550, ,1.49973
2461,61.8284,117.9817,103.7653,95.9624,300.3550, ,1.49936
2462,61.8454,110.2719,104.1603,96.2036,300.3550, ,1.49898
2463,61.8624,102.3302,104.5630,96.4479,300.3550, ,1.49861
2464,61.8794,113.8652,104.9736,96.6953,300.3550, ,1.49824
2465,61.8964,114.6962,105.3919,96.9456,300.3550, ,1.49787
2466,61.9134,108.7619,105.8181,97.1986,300.3550, ,1.49750
2467,61.9304,110.6258,106.2522,97.4541,300.3550, ,1.49713
2468,61.9474,123.4728,106.6944,97.7121,300.3550, ,1.49676
2469,61.9644,110.4754,107.1444,97.9723,300.3550, ,1.49639
2470,61.9814,97.6778,107.6027,98.2345,300.3550, ,1.49602
2471,61.9984,101.7477,108.0692,98.4988,300.3550, ,1.49565
2472,62.0154,96.3706,108.5440,98.7648,300.3550, ,1.49528
2473,62.0324,94.4155,109.0274,99.0324,300.3550, ,1.49491
2474,62.0494,111.7275,109.5193,99.3015,300.3550, ,1.49454
2475,62.0664,116.5040,110.0202,99.5719,300.3550, ,1.49418
2476,62.0834,117.5445,110.5298,99.8434,300.3550, ,1.49381
2477,62.1004,103.9642,111.0488,100.1160,300.3550, ,1.49344
2478,62.1174,107.9608,111.5770,100.3893,300.3550, ,1.49307
2479,62.1344,122.2017,112.1150,100.6635,300.3550, ,1.49270
2480,62.1514,110.8895,112.6628,100.9381,300.3550, ,1.49234
2481,62.1684,107.1455,113.2208,101.2131,300.3550, ,1.49197
2482,62.1854,95.7394,113.7894,101.4884,300.3550, ,1.49160
2483,62.2024,128.4306,114.3688,101.7637,300.3550, ,1.49124
2484,62.2194,124.9193,114.9596,102.0390,300.3550, ,1.49087
2485,62.2364,113.8991,115.5618,102.3141,300.3550, ,1.49050
2486,62.2534,112.0589,116.1764,102.5889,300.3550, ,1.49014
2487,62.2704,107.2334,116.8033,102.8631,300.3550, ,1.48977
2488,62.2874,94.4145,117.4436,103.1368,300.3550, ,1.48940
2489,62.3044,131.4917,118.0974,103.4095,300.3550, ,1.48904
2490,62.3214,124.8792,118.7655,103.6814,300.3550, ,1.48867
2491,62.3384,96.4228,119.4488,103.9522,300.3550, ,1.48831
2492,62.3554,114.5690,120.1476,104.2218,300.3550, ,1.48794
2493,62.3724,105.3341,120.8630,104.4900,300.3550, ,1.48758
2494,62.3894,128.0660,121.5956,104.7567,300.3550, ,1.48721
2495,62.4064,128.2984,122.3467,105.0217,300.3550, ,1.48685
2496,62.4234,120.9933,123.1168,105.2850,300.3550, ,1.48649
2497,62.4404,124.3668,123.9074,105.5463,300.3550, ,1.48612
2498,62.4574,142.8739,124.7193,105.8055,300.3550, ,1.48576
2499,62.4744,116.6483,125.5539,106.0625,300.3550, ,1.48540
2500,62.4914,135.6871,126.4128,106.3172,300.3550, ,1.48503
2501,62.5084,116.4276,127.2971,106.5693,300.3550, ,1.48467
2502,62.5254,135.8231,128.2087,106.8189,300.3550, ,1.48431
2503,62.5424,123.3077,129.1489,107.0656,300.3550, ,1.48394
2504,62.5594,121.2669,130.1202,107.3095,300.3550, ,1.48358
2505,62.5764,129.3623,131.1239,107.5503,300.3550, ,1.48322
2506,62.5934,140.4580,132.1629,107.7879,300.3550, ,1.48286
2507,62.6104,123.7319,133.2390,108.0222,300.3550, ,1.48250
2508,62.6274,143.2849,134.3552,108.2531,300.3550, ,1.48213
2509,62.6444,148.3181,135.5140,108.4804,300.3550, ,1.48177
2510,62.6614,147.7488,136.7186,108.7039,300.3550, ,1.48141
2511,62.6784,139.0926,137.9727,108.9237,300.3550, ,1.48105
2512,62.6954,145.6348,139.2793,109.1394,300.3550, ,1.48069
2513,62.7124,156.2029,140.6429,109.3510,300.3550, ,1.48033
2514,62.7294,153.0370,142.0674,109.5584,300.3550, ,1.47997
2515,62.7464,138.0694,143.5581,109.7614,300.3550, ,1.47961
2516,62.7634,134.3830,145.1194,109.9599,300.3550, ,1.47925
2517,62.7804,132.6988,146.7577,110.1538,300.3550, ,1.47889
2518,62.7974,141.6746,148.4785,110.3429,300.3550, ,1.47853
2519,62.8144,154.4865,150.2890,110.5272,300.3550, ,1.47817
2520,62.8314,163.9529,152.1969,110.7064,300.3550, ,1.47781
2521,62.8484,178.3870,154.2096,110.8805,300.3550, ,1.47745
2522,62.8654,169.0680,156.3369,111.0493,300.3550, ,1.47709
2523,62.8824,157.9913,158.5878,111.2127,300.3550, ,1.47674
2524,62.8994,158.0274,160.9740,111.3706,300.3550, ,1.47638
2525,62.9164,165.9054,163.5064,111.5229,300.3550, ,1.47602
2526,62.9334,177.2505,166.1992,111.6694,300.3550, ,1.47566
2527,62.9504,181.6333,169.0656,111.8100,300.3550, ,1.47530
2528,62.9674,181.3709,172.1219,111.9445,300.3550, ,1.47495
2529,62.9844,172.8553,175.3864,112.0730,300.3550, ,1.47459
2530,63.0014,194.7099,178.8767,112.1952,300.3550, ,1.47423
2531,63.0184,215.2490,182.6152,112.3110,300.3550, ,1.47388
2532,63.0354,207.3150,186.6234,112.4203,300.3550, ,1.47352
2533,63.0524,186.6009,190.9281,112.5231,300.3550, ,1.47316
2534,63.0694,225.3156,195.5548,112.6190,300.3550, ,1.47281
2535,63.0864,213.9803,200.5354,112.7082,300.3550, ,1.47245
2536,63.1034,212.5794,205.8995,112.7903,300.3550, ,1.47209
2537,63.1204,214.0371,211.6840,112.8654,300.3550, ,1.47174
